# stan_version_major = 2
# stan_version_minor = 19
# stan_version_patch = 1
# model = bernoulli_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 2
# data
#   file = /home/jesper/dev/julia/ABDA2021/tmp/bernoulli_2.data.R
# init = 2 (Default)
# random
#   seed = 2667590549
# output
#   file = /home/jesper/dev/julia/ABDA2021/tmp/bernoulli_samples_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 1.02924
# Diagonal elements of inverse mass matrix:
# 0.414588
-8.72163,0.802901,1.02924,1,3,0,8.80155,0.160228
-7.63946,0.965561,1.02924,1,3,0,8.72431,0.340274
-7.63908,0.986419,1.02924,2,3,0,7.70752,0.339144
-8.30421,0.830101,1.02924,1,3,0,8.48337,0.192217
-8.30421,0.81797,1.02924,1,1,0,9.20538,0.192217
-7.84454,1,1.02924,2,3,0,8.17391,0.423835
-8.19767,0.891395,1.02924,1,1,0,8.22455,0.484249
-8.20257,0.812266,1.02924,1,3,0,9.2617,0.202057
-7.88645,1,1.02924,1,1,0,8.14328,0.242909
-8.18031,0.595791,1.02924,2,3,0,11.4017,0.204365
-8.18031,0.827522,1.02924,1,3,0,9.32617,0.204365
-9.7152,0.815854,1.02924,1,3,0,9.7345,0.111704
-9.69188,1,1.02924,1,1,0,10.0889,0.112579
-11.1018,0.851672,1.02924,1,1,0,11.1483,0.072436
-9.72227,1,1.02924,1,1,0,10.9978,0.111441
-9.08976,1,1.02924,1,1,0,9.75562,0.139033
-9.60074,0.927399,1.02924,1,1,0,9.7531,0.116091
-8.20027,0.976717,1.02924,1,3,0,9.34618,0.202292
-9.16155,0.927737,1.02924,2,3,0,9.17173,0.58348
-9.16155,0.597877,1.02924,1,1,0,10.5894,0.58348
-8.19832,1,1.02924,2,3,0,8.92736,0.202492
-9.12628,0.836679,1.02924,1,1,0,9.12898,0.137178
-10.2899,0.852101,1.02924,1,1,0,10.3321,0.0927541
-7.64006,1,1.02924,2,3,0,9.76637,0.341726
-7.98343,0.914499,1.02924,1,3,0,8.00876,0.451179
-8.15745,0.78103,1.02924,2,3,0,9.14593,0.2068
-8.08371,1,1.02924,1,1,0,8.23258,0.215159
-7.66903,1,1.02924,2,3,0,8.00331,0.367668
-7.70522,0.996296,1.02924,2,3,0,7.70981,0.384274
-7.6719,0.960065,1.02924,2,3,0,7.92622,0.298658
-8.14821,0.89986,1.02924,1,3,0,8.17512,0.207804
-8.00346,1,1.02924,1,1,0,8.17474,0.225309
-7.82824,0.87858,1.02924,2,3,0,8.94764,0.420098
-7.98477,0.983538,1.02924,2,3,0,8.02321,0.451413
-8.03757,0.887807,1.02924,2,3,0,8.71146,0.220842
-8.38696,0.975876,1.02924,2,3,0,8.41929,0.18493
-8.21013,1,1.02924,2,3,0,8.44374,0.201286
-10.9468,0.789407,1.02924,2,3,0,11.3389,0.694602
-7.66035,0.904089,1.02924,2,3,0,11.5345,0.305108
-7.66035,0.724562,1.02924,1,3,0,8.73553,0.305108
-8.17897,0.314925,1.02924,2,3,0,13.0246,0.204506
-7.69558,1,1.02924,1,3,0,8.07012,0.288385
-7.9234,0.957762,1.02924,1,3,0,7.92357,0.2369
-7.96705,0.948529,1.02924,1,3,0,8.4618,0.448278
-7.73575,1,1.02924,1,1,0,7.90117,0.395017
-8.04014,0.88761,1.02924,1,3,0,8.37101,0.220515
-7.85349,0.958785,1.02924,2,3,0,8.44373,0.425827
-8.67377,0.764802,1.02924,1,1,0,8.68215,0.539679
-7.7895,1,1.02924,1,1,0,8.38665,0.410537
-8.44461,0.588505,1.02924,2,3,0,10.0669,0.515161
-8.49345,0.984063,1.02924,1,1,0,8.74665,0.520666
-7.63848,1,1.02924,1,3,0,8.31272,0.336727
-7.63848,0.409638,1.02924,1,3,0,10.5543,0.336727
-7.63848,0.94555,1.02924,1,3,0,7.83033,0.336727
-7.69097,0.983169,1.02924,2,3,0,7.73362,0.378438
-7.86223,0.924513,1.02924,2,3,0,8.10493,0.247136
-7.74574,1,1.02924,1,1,0,7.84293,0.272461
-7.74574,0.957946,1.02924,1,3,0,8.05614,0.272461
-7.74574,0.825463,1.02924,1,3,0,8.59101,0.272461
-9.63145,0.643535,1.02924,1,3,0,9.89807,0.114891
-9.0403,1,1.02924,1,1,0,9.67211,0.141609
-8.0616,0.882664,1.02924,2,3,0,10.1875,0.464182
-7.64969,0.926782,1.02924,2,3,0,8.4743,0.354191
-7.73161,0.951516,1.02924,2,3,0,7.90202,0.276442
-7.64399,0.973235,1.02924,2,3,0,7.91886,0.348116
-7.68836,0.99315,1.02924,2,3,0,7.69337,0.291233
-7.65169,0.99237,1.02924,2,3,0,7.73266,0.355949
-8.18153,0.908735,1.02924,2,3,0,8.26032,0.204237
-8.74828,0.964493,1.02924,2,3,0,8.77437,0.158518
-8.33383,1,1.02924,1,1,0,8.73717,0.189542
-8.20584,0.939362,1.02924,2,3,0,9.21489,0.201723
-8.72237,0.902859,1.02924,1,1,0,8.75722,0.16018
-9.50282,0.960571,1.02924,2,3,0,9.56142,0.120037
-7.7463,1,1.02924,1,3,0,9.3046,0.272309
-7.7463,0.742764,1.02924,1,3,0,8.91336,0.272309
-7.67322,1,1.02924,2,3,0,7.72553,0.369964
-7.87562,0.895709,1.02924,2,3,0,8.22967,0.244768
-7.6806,1,1.02924,1,3,0,7.82448,0.29454
-8.12533,0.909058,1.02924,1,3,0,8.14322,0.210341
-7.7683,0.9673,1.02924,2,3,0,8.40703,0.404796
-7.66032,1,1.02924,2,3,0,7.75021,0.305124
-7.63863,0.97728,1.02924,2,3,0,7.79132,0.329232
-8.6849,0.692903,1.02924,2,3,0,9.50931,0.540792
-8.59326,1,1.02924,1,1,0,8.94985,0.531426
-10.3909,0.565077,1.02924,1,1,0,10.5026,0.665563
-8.35275,1,1.02924,1,1,0,9.78461,0.504317
-7.66826,0.992723,1.02924,1,3,0,8.35305,0.300547
-7.73482,0.97709,1.02924,1,3,0,7.80909,0.394718
-7.69828,0.944727,1.02924,2,3,0,8.0402,0.287371
-7.64122,0.997178,1.02924,1,3,0,7.70387,0.344017
-8.35793,0.814067,1.02924,1,3,0,8.57525,0.187421
-7.84876,0.929023,1.02924,2,3,0,8.81801,0.42478
-8.70533,0.755824,1.02924,1,1,0,8.71211,0.54282
-8.01355,1,1.02924,2,3,0,8.52601,0.456346
-8.80099,0.772097,1.02924,1,1,0,8.84311,0.552044
-7.86536,1,1.02924,1,1,0,8.50202,0.42841
-8.05301,0.702204,1.02924,2,3,0,9.43333,0.462815
-7.80599,0.778604,1.02924,2,3,0,9.17966,0.414737
-7.95803,0.984045,1.02924,2,3,0,7.99031,0.446648
-7.95803,0.500558,1.02924,1,3,0,9.80268,0.446648
-8.39953,0.955054,1.02924,2,3,0,8.45041,0.509923
-7.66696,0.994067,1.02924,1,3,0,8.38924,0.301247
-8.11097,0.922702,1.02924,2,3,0,8.26409,0.471789
-7.6679,1,1.02924,1,3,0,7.9767,0.367028
-8.24174,0.865258,1.02924,1,3,0,8.25147,0.49021
-7.65688,1,1.02924,1,3,0,8.07565,0.359983
